timeref	est_sendtime	pos_x	pos_y	vel_x	vel_y	sigma	valid	senderGuid
3617.351867806	0.000000000	4.579	-3.189	-0.027	-0.196	1.497778	1	4294967295
3617.651748335	0.000000000	4.490	-3.263	-0.051	-0.198	0.967843	1	4294967295
3617.951850941	0.000000000	4.452	-3.319	-0.058	-0.197	1.427181	1	4294967295
3618.251637245	0.000000000	4.404	-3.366	-0.068	-0.193	1.422799	1	4294967295
3618.551511702	0.000000000	4.356	-3.420	-0.077	-0.191	1.415635	1	4294967295
3618.851445151	0.000000000	4.270	-3.499	-0.096	-0.195	0.845116	1	4294967295
3619.151423745	0.000000000	4.170	-3.588	-0.117	-0.201	0.841529	1	4294967295
3619.451380738	0.000000000	4.043	-3.686	-0.143	-0.208	0.921899	1	4294967295
3619.751298068	0.000000000	3.922	-3.769	-0.166	-0.212	0.833022	1	4294967295
3620.051235900	0.000000000	3.805	-3.849	-0.186	-0.214	0.750993	1	4294967295
3620.351176875	0.000000000	3.694	-3.916	-0.203	-0.213	0.672565	1	4294967295
3620.651192296	0.000000000	3.606	-3.971	-0.212	-0.209	0.488342	1	4294967295
3620.951272532	0.000000000	3.514	-4.027	-0.221	-0.206	0.442699	1	4294967295
3621.251240417	0.000000000	3.419	-4.073	-0.231	-0.201	0.468682	1	4294967295
3621.851365837	0.000000000	3.224	-4.174	-0.247	-0.194	0.561446	1	4294967295
3622.151346300	0.000000000	3.113	-4.210	-0.259	-0.187	0.487849	1	4294967295
3622.451360558	0.000000000	3.004	-4.236	-0.269	-0.178	0.486230	1	4294967295
3622.751283151	0.000000000	2.900	-4.266	-0.277	-0.170	0.443684	1	4294967295
3623.051306754	0.000000000	2.798	-4.287	-0.284	-0.161	0.451621	1	4294967295
3623.351358603	0.000000000	2.684	-4.313	-0.294	-0.153	0.539723	1	4294967295
3623.651599390	0.000000000	2.567	-4.339	-0.304	-0.146	0.529571	1	4294967295
3623.951620715	0.000000000	2.457	-4.334	-0.312	-0.131	0.538848	1	4294967295
3624.251629028	0.000000000	2.350	-4.337	-0.319	-0.120	0.538263	1	4294967295
3624.551694727	0.000000000	2.242	-4.316	-0.325	-0.103	0.559662	1	4294967295
3624.851757702	0.000000000	2.133	-4.319	-0.330	-0.094	0.470901	1	4294967295
3625.151835909	0.000000000	2.024	-4.319	-0.336	-0.085	0.498804	1	4294967295
3625.451922627	0.000000000	1.916	-4.296	-0.340	-0.070	0.559603	1	4294967295
3625.752014906	0.000000000	1.816	-4.297	-0.342	-0.063	0.459653	1	4294967295
3626.052093525	0.000000000	1.712	-4.284	-0.345	-0.053	0.467806	1	4294967295
3626.352164870	0.000000000	1.618	-4.253	-0.345	-0.040	0.472053	1	4294967295
3626.652285392	0.000000000	1.523	-4.223	-0.345	-0.027	0.483638	1	4294967295
3626.952385201	0.000000000	1.426	-4.194	-0.346	-0.016	0.475988	1	4294967295
3627.252478898	0.000000000	1.329	-4.172	-0.346	-0.007	0.490642	1	4294967295
3627.552758657	0.000000000	1.228	-4.143	-0.347	0.003	0.435628	1	4294967295
3627.852926894	0.000000000	1.126	-4.124	-0.349	0.010	0.397301	1	4294967295
3628.153036091	0.000000000	1.030	-4.095	-0.348	0.018	0.389647	1	4294967295
